nohup: ignoring input
=================================================================
==================== PARAMETER CONFIGURATION ====================
=================================================================
model=LeNet5_Original (rotated)
criterion=CrossEntropy
C=64
lr=0.001
lambda_reg=0.0002
alpha=0.5
[T1=lambda_reg*alpha=0.0001]
[T2=lambda_reg*(1-alpha)=0.0001]
subgradient_step=100000.0
w0=-0.031
r=2
bucket_zero=32
BestQuantization_target_acc=99.8
final_target_acc=99.7
target_zstd_ratio=0.0179
min_xi=0
max_xi=1
upper_c=1663370
lower_c=0.01
c1=10
c2=1000
first_best_indices=20
accuracy_tollerance=0.2
zeta=50000
l=0.5
n_epochs=100
max_iterations=15
train_optimizer=ADAM
entropy_optimizer=FISTA
pruning=Y
QuantizationType=center
sparsity_threshold=0.001
------------------------------------------------------------
delta = 6.3
Epoch 1: A_NQ = 95.61, H_NQ = 981906, A_Q = 96.4, H_Q = 53085, zstd_ratio = 3.50%, sparse_ratio = 2.73%, sparsity = 87.32% , sparse_accuracy = 96.4, training_time = 1397s
Epoch 2: A_NQ = 97.06, H_NQ = 981884, A_Q = 97.09, H_Q = 42675, zstd_ratio = 2.89%, sparse_ratio = 2.23%, sparsity = 91.00% , sparse_accuracy = 97.1, training_time = 658s
Epoch 3: A_NQ = 97.18, H_NQ = 981872, A_Q = 97.1, H_Q = 37174, zstd_ratio = 2.53%, sparse_ratio = 1.93%, sparsity = 92.70% , sparse_accuracy = 97.13, training_time = 695s
Epoch 4: A_NQ = 97.84, H_NQ = 981900, A_Q = 98.05, H_Q = 33076, zstd_ratio = 2.28%, sparse_ratio = 1.71%, sparsity = 93.82% , sparse_accuracy = 98.05, training_time = 675s
Epoch 5: A_NQ = 98.02, H_NQ = 981858, A_Q = 98.12, H_Q = 30766, zstd_ratio = 2.14%, sparse_ratio = 1.60%, sparsity = 94.42% , sparse_accuracy = 98.12, training_time = 628s
Epoch 6: A_NQ = 97.71, H_NQ = 981896, A_Q = 98.42, H_Q = 28538, zstd_ratio = 2.02%, sparse_ratio = 1.50%, sparsity = 94.99% , sparse_accuracy = 98.4, training_time = 615s
Epoch 7: A_NQ = 97.49, H_NQ = 981892, A_Q = 98.07, H_Q = 27265, zstd_ratio = 1.94%, sparse_ratio = 1.43%, sparsity = 95.29% , sparse_accuracy = 98.06, training_time = 618s
Epoch 8: A_NQ = 98.07, H_NQ = 981898, A_Q = 98.24, H_Q = 26596, zstd_ratio = 1.94%, sparse_ratio = 1.41%, sparsity = 95.45% , sparse_accuracy = 98.26, training_time = 612s
Epoch 9: A_NQ = 97.35, H_NQ = 981792, A_Q = 97.84, H_Q = 26209, zstd_ratio = 1.93%, sparse_ratio = 1.41%, sparsity = 95.55% , sparse_accuracy = 97.84, training_time = 648s
Epoch 10: A_NQ = 98.32, H_NQ = 981840, A_Q = 98.46, H_Q = 24807, zstd_ratio = 1.82%, sparse_ratio = 1.33%, sparsity = 95.87% , sparse_accuracy = 98.41, training_time = 624s
Epoch 11: A_NQ = 98.38, H_NQ = 981860, A_Q = 98.3, H_Q = 23845, zstd_ratio = 1.78%, sparse_ratio = 1.29%, sparsity = 96.08% , sparse_accuracy = 98.31, training_time = 600s
