nohup: ignoring input
=================================================================
==================== PARAMETER CONFIGURATION ====================
=================================================================
model=LeNet5_Original (rotated)
criterion=CrossEntropy
C=64
lr=0.001
lambda_reg=0.0002
alpha=0.6
[T1=lambda_reg*alpha=0.00012]
[T2=lambda_reg*(1-alpha)=8e-05]
subgradient_step=100000.0
w0=-0.031
r=2
bucket_zero=32
BestQuantization_target_acc=99.8
final_target_acc=99.7
target_zstd_ratio=0.0179
min_xi=0
max_xi=1
upper_c=1663370
lower_c=0.01
c1=10
c2=1000
first_best_indices=20
accuracy_tollerance=0.2
zeta=50000
l=0.5
n_epochs=100
max_iterations=15
train_optimizer=ADAM
entropy_optimizer=FISTA
pruning=Y
QuantizationType=center
sparsity_threshold=0.001
------------------------------------------------------------
delta = 7.1
Epoch 1: A_NQ = 94.41, H_NQ = 981900, A_Q = 93.32, H_Q = 53223, zstd_ratio = 3.51%, sparse_ratio = 2.73%, sparsity = 87.27% , sparse_accuracy = 93.31, training_time = 1054s
Epoch 2: A_NQ = 97.2, H_NQ = 981906, A_Q = 97.49, H_Q = 44024, zstd_ratio = 2.98%, sparse_ratio = 2.28%, sparsity = 90.66% , sparse_accuracy = 97.52, training_time = 609s
Epoch 3: A_NQ = 97.51, H_NQ = 981908, A_Q = 97.82, H_Q = 38722, zstd_ratio = 2.65%, sparse_ratio = 2.02%, sparsity = 92.30% , sparse_accuracy = 97.83, training_time = 607s
Epoch 4: A_NQ = 97.83, H_NQ = 981896, A_Q = 97.53, H_Q = 35717, zstd_ratio = 2.46%, sparse_ratio = 1.85%, sparsity = 93.17% , sparse_accuracy = 97.5, training_time = 453s
Epoch 5: A_NQ = 97.13, H_NQ = 981828, A_Q = 97.81, H_Q = 32538, zstd_ratio = 2.30%, sparse_ratio = 1.71%, sparsity = 94.04% , sparse_accuracy = 97.81, training_time = 495s
Epoch 6: A_NQ = 97.75, H_NQ = 981890, A_Q = 97.07, H_Q = 31383, zstd_ratio = 2.24%, sparse_ratio = 1.66%, sparsity = 94.33% , sparse_accuracy = 97.07, training_time = 448s
Epoch 7: A_NQ = 97.76, H_NQ = 981906, A_Q = 98.27, H_Q = 29812, zstd_ratio = 2.13%, sparse_ratio = 1.57%, sparsity = 94.72% , sparse_accuracy = 98.3, training_time = 463s
Epoch 8: A_NQ = 98.27, H_NQ = 981828, A_Q = 98.23, H_Q = 28612, zstd_ratio = 2.04%, sparse_ratio = 1.51%, sparsity = 95.02% , sparse_accuracy = 98.23, training_time = 513s
Epoch 9: A_NQ = 98.03, H_NQ = 981855, A_Q = 98.24, H_Q = 27836, zstd_ratio = 1.98%, sparse_ratio = 1.48%, sparsity = 95.20% , sparse_accuracy = 98.22, training_time = 574s
Epoch 10: A_NQ = 98.54, H_NQ = 981896, A_Q = 98.19, H_Q = 27234, zstd_ratio = 1.96%, sparse_ratio = 1.46%, sparsity = 95.33% , sparse_accuracy = 98.19, training_time = 555s
Epoch 11: A_NQ = 97.57, H_NQ = 981886, A_Q = 98.13, H_Q = 26025, zstd_ratio = 1.87%, sparse_ratio = 1.39%, sparsity = 95.60% , sparse_accuracy = 98.15, training_time = 568s
Epoch 12: A_NQ = 98.51, H_NQ = 981888, A_Q = 98.58, H_Q = 25184, zstd_ratio = 1.82%, sparse_ratio = 1.34%, sparsity = 95.80% , sparse_accuracy = 98.58, training_time = 548s
Epoch 13: A_NQ = 98.13, H_NQ = 981866, A_Q = 98.52, H_Q = 24302, zstd_ratio = 1.78%, sparse_ratio = 1.31%, sparsity = 96.01% , sparse_accuracy = 98.51, training_time = 482s
Epoch 14: A_NQ = 98.44, H_NQ = 981878, A_Q = 98.45, H_Q = 24191, zstd_ratio = 1.78%, sparse_ratio = 1.31%, sparsity = 96.03% , sparse_accuracy = 98.47, training_time = 544s
Epoch 15: A_NQ = 98.27, H_NQ = 981882, A_Q = 98.52, H_Q = 24463, zstd_ratio = 1.80%, sparse_ratio = 1.32%, sparsity = 95.96% , sparse_accuracy = 98.52, training_time = 527s
Epoch 16: A_NQ = 97.9, H_NQ = 981848, A_Q = 98.25, H_Q = 23513, zstd_ratio = 1.73%, sparse_ratio = 1.26%, sparsity = 96.17% , sparse_accuracy = 98.26, training_time = 522s
Epoch 17: A_NQ = 98.43, H_NQ = 981892, A_Q = 98.57, H_Q = 23013, zstd_ratio = 1.70%, sparse_ratio = 1.24%, sparsity = 96.28% , sparse_accuracy = 98.59, training_time = 534s
Epoch 18: A_NQ = 98.62, H_NQ = 981894, A_Q = 98.65, H_Q = 22848, zstd_ratio = 1.68%, sparse_ratio = 1.23%, sparsity = 96.31% , sparse_accuracy = 98.66, training_time = 533s
Epoch 19: A_NQ = 98.63, H_NQ = 981870, A_Q = 98.61, H_Q = 22788, zstd_ratio = 1.69%, sparse_ratio = 1.23%, sparsity = 96.32% , sparse_accuracy = 98.59, training_time = 469s
Epoch 20: A_NQ = 98.61, H_NQ = 981870, A_Q = 98.65, H_Q = 21771, zstd_ratio = 1.63%, sparse_ratio = 1.19%, sparsity = 96.55% , sparse_accuracy = 98.65, training_time = 516s
Epoch 21: A_NQ = 98.56, H_NQ = 981826, A_Q = 98.62, H_Q = 22636, zstd_ratio = 1.66%, sparse_ratio = 1.23%, sparsity = 96.36% , sparse_accuracy = 98.63, training_time = 486s
Epoch 22: A_NQ = 98.61, H_NQ = 981826, A_Q = 98.42, H_Q = 22495, zstd_ratio = 1.65%, sparse_ratio = 1.22%, sparsity = 96.39% , sparse_accuracy = 98.42, training_time = 475s
Epoch 23: A_NQ = 98.33, H_NQ = 981611, A_Q = 98.58, H_Q = 21776, zstd_ratio = 1.63%, sparse_ratio = 1.19%, sparsity = 96.55% , sparse_accuracy = 98.6, training_time = 459s
Epoch 24: A_NQ = 98.6, H_NQ = 981874, A_Q = 98.74, H_Q = 22072, zstd_ratio = 1.63%, sparse_ratio = 1.20%, sparsity = 96.48% , sparse_accuracy = 98.75, training_time = 450s
Epoch 25: A_NQ = 98.53, H_NQ = 981738, A_Q = 98.65, H_Q = 22105, zstd_ratio = 1.64%, sparse_ratio = 1.19%, sparsity = 96.47% , sparse_accuracy = 98.66, training_time = 501s
Epoch 26: A_NQ = 98.85, H_NQ = 981880, A_Q = 98.69, H_Q = 22062, zstd_ratio = 1.63%, sparse_ratio = 1.19%, sparsity = 96.48% , sparse_accuracy = 98.7, training_time = 531s
Epoch 27: A_NQ = 98.52, H_NQ = 981882, A_Q = 98.56, H_Q = 22028, zstd_ratio = 1.62%, sparse_ratio = 1.19%, sparsity = 96.48% , sparse_accuracy = 98.57, training_time = 486s
Epoch 28: A_NQ = 98.44, H_NQ = 981890, A_Q = 98.51, H_Q = 21907, zstd_ratio = 1.60%, sparse_ratio = 1.16%, sparsity = 96.50% , sparse_accuracy = 98.53, training_time = 513s
Epoch 29: A_NQ = 98.69, H_NQ = 981882, A_Q = 98.82, H_Q = 22019, zstd_ratio = 1.61%, sparse_ratio = 1.17%, sparsity = 96.48% , sparse_accuracy = 98.81, training_time = 479s
Epoch 30: A_NQ = 98.48, H_NQ = 981756, A_Q = 98.46, H_Q = 21661, zstd_ratio = 1.59%, sparse_ratio = 1.16%, sparsity = 96.55% , sparse_accuracy = 98.45, training_time = 464s
Epoch 31: A_NQ = 98.3, H_NQ = 981790, A_Q = 98.55, H_Q = 21641, zstd_ratio = 1.58%, sparse_ratio = 1.16%, sparsity = 96.55% , sparse_accuracy = 98.53, training_time = 489s
Epoch 32: A_NQ = 98.66, H_NQ = 981902, A_Q = 98.64, H_Q = 21216, zstd_ratio = 1.58%, sparse_ratio = 1.15%, sparsity = 96.65% , sparse_accuracy = 98.65, training_time = 478s
Epoch 33: A_NQ = 98.76, H_NQ = 981856, A_Q = 98.66, H_Q = 20968, zstd_ratio = 1.54%, sparse_ratio = 1.13%, sparsity = 96.69% , sparse_accuracy = 98.69, training_time = 496s
Epoch 34: A_NQ = 98.48, H_NQ = 981872, A_Q = 98.39, H_Q = 20251, zstd_ratio = 1.50%, sparse_ratio = 1.10%, sparsity = 96.84% , sparse_accuracy = 98.39, training_time = 479s
Epoch 35: A_NQ = 98.62, H_NQ = 981794, A_Q = 98.58, H_Q = 20638, zstd_ratio = 1.53%, sparse_ratio = 1.12%, sparsity = 96.76% , sparse_accuracy = 98.57, training_time = 463s
Epoch 36: A_NQ = 98.9, H_NQ = 981874, A_Q = 98.75, H_Q = 21696, zstd_ratio = 1.58%, sparse_ratio = 1.17%, sparsity = 96.52% , sparse_accuracy = 98.74, training_time = 470s
Epoch 37: A_NQ = 98.63, H_NQ = 981812, A_Q = 98.71, H_Q = 21174, zstd_ratio = 1.53%, sparse_ratio = 1.14%, sparsity = 96.64% , sparse_accuracy = 98.66, training_time = 460s
Epoch 38: A_NQ = 98.21, H_NQ = 981824, A_Q = 98.77, H_Q = 21274, zstd_ratio = 1.55%, sparse_ratio = 1.14%, sparsity = 96.62% , sparse_accuracy = 98.78, training_time = 459s
Epoch 39: A_NQ = 98.49, H_NQ = 981872, A_Q = 98.22, H_Q = 21259, zstd_ratio = 1.55%, sparse_ratio = 1.14%, sparsity = 96.62% , sparse_accuracy = 98.23, training_time = 464s
Epoch 40: A_NQ = 98.32, H_NQ = 981783, A_Q = 98.33, H_Q = 20185, zstd_ratio = 1.50%, sparse_ratio = 1.10%, sparsity = 96.86% , sparse_accuracy = 98.35, training_time = 454s
Epoch 41: A_NQ = 98.67, H_NQ = 981748, A_Q = 98.67, H_Q = 20763, zstd_ratio = 1.52%, sparse_ratio = 1.12%, sparsity = 96.72% , sparse_accuracy = 98.67, training_time = 457s
Epoch 42: A_NQ = 98.42, H_NQ = 981886, A_Q = 98.8, H_Q = 20515, zstd_ratio = 1.50%, sparse_ratio = 1.11%, sparsity = 96.77% , sparse_accuracy = 98.79, training_time = 469s
Epoch 43: A_NQ = 98.55, H_NQ = 981852, A_Q = 98.42, H_Q = 20881, zstd_ratio = 1.51%, sparse_ratio = 1.12%, sparsity = 96.69% , sparse_accuracy = 98.43, training_time = 463s
Epoch 44: A_NQ = 98.24, H_NQ = 981896, A_Q = 98.45, H_Q = 20692, zstd_ratio = 1.51%, sparse_ratio = 1.11%, sparsity = 96.72% , sparse_accuracy = 98.48, training_time = 543s
Epoch 45: A_NQ = 98.53, H_NQ = 981894, A_Q = 98.41, H_Q = 20658, zstd_ratio = 1.50%, sparse_ratio = 1.10%, sparsity = 96.74% , sparse_accuracy = 98.44, training_time = 572s
Epoch 46: A_NQ = 98.58, H_NQ = 981784, A_Q = 98.62, H_Q = 19955, zstd_ratio = 1.48%, sparse_ratio = 1.08%, sparsity = 96.89% , sparse_accuracy = 98.63, training_time = 477s
Epoch 47: A_NQ = 98.4, H_NQ = 981870, A_Q = 98.66, H_Q = 20331, zstd_ratio = 1.50%, sparse_ratio = 1.10%, sparsity = 96.80% , sparse_accuracy = 98.64, training_time = 491s
Epoch 48: A_NQ = 98.56, H_NQ = 981884, A_Q = 98.54, H_Q = 20535, zstd_ratio = 1.51%, sparse_ratio = 1.11%, sparsity = 96.75% , sparse_accuracy = 98.55, training_time = 534s
Epoch 49: A_NQ = 98.47, H_NQ = 981902, A_Q = 98.5, H_Q = 20087, zstd_ratio = 1.48%, sparse_ratio = 1.09%, sparsity = 96.85% , sparse_accuracy = 98.52, training_time = 538s
Epoch 50: A_NQ = 98.72, H_NQ = 981902, A_Q = 98.67, H_Q = 19735, zstd_ratio = 1.46%, sparse_ratio = 1.08%, sparsity = 96.93% , sparse_accuracy = 98.68, training_time = 477s
