layer_idx,layer_name,numel,rate,accuracy,drop
0,features.0.weight,23232,0.1,56.512,-0.027999999999998693
0,features.0.weight,23232,0.2,56.248,0.2360000000000042
0,features.0.weight,23232,0.3,55.934,0.5500000000000043
0,features.0.weight,23232,0.4,53.734,2.75
0,features.0.weight,23232,0.5,46.094,10.39
0,features.0.weight,23232,0.6,31.782,24.702
0,features.0.weight,23232,0.7,14.044,42.44
0,features.0.weight,23232,0.8,3.058,53.426
0,features.0.weight,23232,0.9,0.454,56.03
0,features.0.weight,23232,0.95,0.164,56.32
1,features.3.weight,307200,0.1,56.494,-0.00999999999999801
1,features.3.weight,307200,0.2,56.376,0.10800000000000409
1,features.3.weight,307200,0.3,56.25,0.23400000000000176
1,features.3.weight,307200,0.4,55.836,0.6480000000000032
1,features.3.weight,307200,0.5,55.12,1.3640000000000043
1,features.3.weight,307200,0.6,53.162,3.3220000000000027
1,features.3.weight,307200,0.7,47.936,8.548000000000002
1,features.3.weight,307200,0.8,36.728,19.756
1,features.3.weight,307200,0.9,13.162,43.322
1,features.3.weight,307200,0.95,4.204,52.28
2,features.6.weight,663552,0.1,56.47,0.014000000000002899
2,features.6.weight,663552,0.2,56.44,0.044000000000004036
2,features.6.weight,663552,0.3,56.296,0.1880000000000024
2,features.6.weight,663552,0.4,55.982,0.5020000000000024
2,features.6.weight,663552,0.5,55.432,1.0519999999999996
2,features.6.weight,663552,0.6,54.314,2.1700000000000017
2,features.6.weight,663552,0.7,51.144,5.340000000000003
2,features.6.weight,663552,0.8,43.664,12.82
2,features.6.weight,663552,0.9,27.894,28.590000000000003
2,features.6.weight,663552,0.95,11.104,45.38
3,features.8.weight,884736,0.1,56.488,-0.003999999999997783
3,features.8.weight,884736,0.2,56.452,0.03200000000000358
3,features.8.weight,884736,0.3,56.342,0.142000000000003
3,features.8.weight,884736,0.4,56.208,0.27600000000000335
3,features.8.weight,884736,0.5,55.894,0.5900000000000034
3,features.8.weight,884736,0.6,55.258,1.225999999999999
3,features.8.weight,884736,0.7,53.8,2.6840000000000046
3,features.8.weight,884736,0.8,50.864,5.6200000000000045
3,features.8.weight,884736,0.9,40.022,16.462000000000003
3,features.8.weight,884736,0.95,26.28,30.204
4,features.10.weight,589824,0.1,56.508,-0.02400000000000091
4,features.10.weight,589824,0.2,56.518,-0.03399999999999892
4,features.10.weight,589824,0.3,56.512,-0.027999999999998693
4,features.10.weight,589824,0.4,56.406,0.07800000000000296
4,features.10.weight,589824,0.5,56.174,0.3100000000000023
4,features.10.weight,589824,0.6,55.776,0.7079999999999984
4,features.10.weight,589824,0.7,54.862,1.6219999999999999
4,features.10.weight,589824,0.8,52.136,4.347999999999999
4,features.10.weight,589824,0.9,39.558,16.926000000000002
4,features.10.weight,589824,0.95,21.652,34.832
5,classifier.1.weight,37748736,0.1,56.488,-0.003999999999997783
5,classifier.1.weight,37748736,0.2,56.498,-0.013999999999995794
5,classifier.1.weight,37748736,0.3,56.48,0.0040000000000048885
5,classifier.1.weight,37748736,0.4,56.392,0.09199999999999875
5,classifier.1.weight,37748736,0.5,56.376,0.10800000000000409
5,classifier.1.weight,37748736,0.6,56.312,0.17200000000000415
5,classifier.1.weight,37748736,0.7,56.036,0.4480000000000004
5,classifier.1.weight,37748736,0.8,55.272,1.2120000000000033
5,classifier.1.weight,37748736,0.9,53.024,3.460000000000001
5,classifier.1.weight,37748736,0.95,48.384,8.100000000000001
6,classifier.4.weight,16777216,0.1,56.496,-0.012000000000000455
6,classifier.4.weight,16777216,0.2,56.516,-0.031999999999996476
6,classifier.4.weight,16777216,0.3,56.56,-0.07600000000000051
6,classifier.4.weight,16777216,0.4,56.526,-0.04200000000000159
6,classifier.4.weight,16777216,0.5,56.608,-0.12399999999999523
6,classifier.4.weight,16777216,0.6,56.366,0.1180000000000021
6,classifier.4.weight,16777216,0.7,55.936,0.5480000000000018
6,classifier.4.weight,16777216,0.8,54.598,1.8860000000000028
6,classifier.4.weight,16777216,0.9,50.244,6.240000000000002
6,classifier.4.weight,16777216,0.95,41.846,14.638000000000005
7,classifier.6.weight,4096000,0.1,56.49,-0.006000000000000227
7,classifier.6.weight,4096000,0.2,56.51,-0.02599999999999625
7,classifier.6.weight,4096000,0.3,56.418,0.0660000000000025
7,classifier.6.weight,4096000,0.4,56.202,0.2820000000000036
7,classifier.6.weight,4096000,0.5,55.946,0.5380000000000038
7,classifier.6.weight,4096000,0.6,55.508,0.9759999999999991
7,classifier.6.weight,4096000,0.7,54.552,1.9320000000000022
7,classifier.6.weight,4096000,0.8,52.508,3.975999999999999
7,classifier.6.weight,4096000,0.9,47.436,9.048000000000002
7,classifier.6.weight,4096000,0.95,40.316,16.168
